chr	start	end	strand	pvalue	qvalue	meth.diff
Chromosome_1	261089	261091	*	5.34346336302703e-06	0.0180581836359358	38.0371660859466
Chromosome_1	2075712	2075714	*	9.31554708772311e-07	0.00581728965181913	-40
Chromosome_1	5847332	5847334	*	1.9530027259692e-08	0.00038690558784212	-44.6808510638298
Chromosome_1	6009277	6009279	*	8.01841845399985e-07	0.00526478710747382	31.5789473684211
Chromosome_1	10441370	10441372	*	1.04932533727032e-05	0.0280070360168419	-42.3623995052566
Chromosome_1	11902861	11902863	*	1.87300124497991e-06	0.00939794133787696	-33.3333333333333
Chromosome_1	14107760	14107762	*	2.22344395489639e-05	0.0441951352857781	25.531914893617
Chromosome_1	14112364	14112366	*	6.09733474403976e-06	0.0197630488924887	-43.452380952381
Chromosome_1	15854040	15854042	*	2.98102797773292e-06	0.0126085166760242	26.4150943396226
Chromosome_1	15854118	15854120	*	5.38229038648068e-07	0.00400284512975769	26.9230769230769
Chromosome_1	17470058	17470060	*	1.70686630093779e-05	0.0371094620363849	-35.4515050167224
Chromosome_1	19416106	19416108	*	1.88139536111259e-06	0.0094194929433606	38.6691776522285
Chromosome_1	27824976	27824978	*	1.47203416719922e-05	0.034051882402752	-34.5246868091378
Chromosome_1	28308566	28308568	*	1.21529373647324e-05	0.0304559440304834	-36.7201426024955
Chromosome_1	29543943	29543945	*	9.32112852937359e-09	0.000220829405880533	47.6744186046512
Chromosome_1	32274235	32274237	*	2.65378113585038e-05	0.04860005971777	26.6499582289056
Chromosome_1	32574449	32574451	*	4.67875817694138e-06	0.0166182948525261	42.887323943662
Chromosome_1	32651509	32651511	*	3.9003232122516e-06	0.0147663122684287	29.3184885290148
Chromosome_1	33786875	33786877	*	2.83997774453083e-09	9.19214210724568e-05	42.8571428571429
Chromosome_1	36723494	36723496	*	2.23865216385859e-05	0.0442961693696863	39.0243902439024
Chromosome_1	41793302	41793304	*	4.26676088207747e-08	0.000680919786775437	-52.7966101694915
Chromosome_1	41823931	41823933	*	4.87119831203561e-06	0.0170384695622246	-49.5457721872816
Chromosome_1	45738611	45738613	*	7.15814302267377e-06	0.0219623442988273	44.0677966101695
Chromosome_1	45933066	45933068	*	5.65972780581556e-06	0.0187681926310146	-27.4603174603175
Chromosome_1	47086778	47086780	*	5.90194470961129e-06	0.0192930084002608	-29.1666666666667
Chromosome_1	47128919	47128921	*	2.26684675376241e-05	0.044432661911305	-38.1316489361702
Chromosome_1	47135329	47135331	*	1.3435815627901e-05	0.0321627329208917	48.0116959064327
Chromosome_1	47170639	47170641	*	1.46974661844106e-05	0.034051882402752	50
Chromosome_1	48435813	48435815	*	3.80681959647832e-06	0.0145463821451924	27.2727272727273
Chromosome_1	48539688	48539690	*	1.46797577258693e-05	0.034051882402752	-27.8462998102467
Chromosome_1	52247359	52247361	*	1.40910036093791e-06	0.00756585996757313	-38.5167464114832
Chromosome_1	52273341	52273343	*	3.6744912005398e-06	0.0143963202383512	37.913593256059
Chromosome_1	53166347	53166349	*	2.05223208041936e-12	5.24015465308183e-07	66.8636721828211
Chromosome_1	53524937	53524939	*	1.89137778853723e-05	0.0400378633949094	-28.2051282051282
Chromosome_1	55965077	55965079	*	1.76754212550544e-07	0.00177779962501539	-31.7168338907469
Chromosome_1	55976748	55976750	*	2.01961739283077e-09	7.14029059947115e-05	-42.2222222222222
Chromosome_1	59930087	59930089	*	2.63069447360213e-06	0.0116036021794556	47.2650771388499
Chromosome_1	60384745	60384747	*	1.82429168313072e-05	0.0389620813376822	27.7777777777778
Chromosome_1	60387060	60387062	*	1.29794071603114e-09	5.16516232733995e-05	45.2588181401741
Chromosome_1	60397602	60397604	*	5.52877182336803e-06	0.0184403681202524	42.6218708827404
Chromosome_1	60778803	60778805	*	3.48396698939274e-06	0.014021615861697	41.4285714285714
Chromosome_1	60779093	60779095	*	2.52866564892599e-05	0.0472889349353564	42.063174730108
Chromosome_1	65064974	65064976	*	1.67382926317414e-05	0.0367037142730489	-50.2688172043011
Chromosome_1	65106705	65106707	*	1.84825954791529e-06	0.00933494371063219	44.2745098039216
Chromosome_1	65625149	65625151	*	6.24368883012933e-08	0.000872773187391423	45.7627118644068
Chromosome_1	65761789	65761791	*	9.5410312010403e-07	0.00587817629938619	46.2435677530017
Chromosome_1	66572123	66572125	*	1.18052896978719e-05	0.0299770030122288	35.1495726495727
Chromosome_1	70006862	70006864	*	1.2760427058733e-05	0.0310966537804267	39.7222222222222
Chromosome_1	73244878	73244880	*	1.86510426214959e-06	0.00937879528104115	27.1825396825397
Chromosome_1	73269851	73269853	*	3.72579815409564e-09	0.000107026045250414	-51.9674355495251
Chromosome_1	73907056	73907058	*	2.21893840348337e-05	0.0441951352857781	64.7619047619048
Chromosome_1	74032374	74032376	*	1.26124845572929e-05	0.0308729363058145	25.7142857142857
Chromosome_1	74379904	74379906	*	8.92857010616408e-07	0.00565243308488216	42.5423728813559
Chromosome_1	77547806	77547808	*	1.05190100510985e-05	0.0280202360008947	39.1369493557087
Chromosome_1	77665665	77665667	*	5.87939265582349e-07	0.00429200896672712	49.6031746031746
Chromosome_1	78163785	78163787	*	1.5325212513884e-09	5.50283731212115e-05	61.1111111111111
Chromosome_1	80381937	80381939	*	1.24872666185173e-05	0.0306913445984874	-29.4117647058823
Chromosome_1	86114625	86114627	*	6.92369130626418e-07	0.00485091868416369	-38.5964912280702
Chromosome_1	89907644	89907646	*	8.51699745428183e-07	0.00545195434830345	28.5714285714286
Chromosome_1	91251941	91251943	*	1.38989653087934e-05	0.0328945070706785	-30.6066176470588
Chromosome_1	95647809	95647811	*	1.56166740403821e-06	0.00821234622173088	-33.3333333333333
Chromosome_1	100614700	100614702	*	1.69227564546757e-05	0.0368728924186218	-26.5948632974316
Chromosome_1	101912767	101912769	*	1.1460370890549e-05	0.0293934663409474	64.1114982578397
Chromosome_1	101912776	101912778	*	1.12041769946132e-08	0.000251086000992825	62.5843279709393
Chromosome_1	101912809	101912811	*	1.20600513075567e-05	0.0303223671158377	47.9223125564589
Chromosome_1	102506260	102506262	*	2.22687653933913e-05	0.0441951352857781	35.6973995271868
Chromosome_1	102506265	102506267	*	3.71247541558882e-06	0.0144405621202955	42.8571428571429
Chromosome_1	103413714	103413716	*	6.19574037360033e-06	0.0199413768482981	28.5714285714286
Chromosome_1	103740618	103740620	*	3.74929936297436e-06	0.0145052031248855	-28.3018867924528
Chromosome_1	104791622	104791624	*	4.43517306676655e-06	0.0159503366916864	28.3050847457627
Chromosome_1	105346641	105346643	*	3.94657725868775e-07	0.00313821654736098	-43.8732981383718
Chromosome_1	105803545	105803547	*	7.71641677527236e-06	0.0229698689775595	-50.8511979823455
Chromosome_1	111155550	111155552	*	1.9750927001703e-05	0.0411192145748764	-42.1831637372803
Chromosome_1	111155569	111155571	*	1.65529849895696e-05	0.0364668533294714	-41.2698412698413
Chromosome_1	111988615	111988617	*	9.77857099514902e-06	0.0264996222241836	-28.2608695652174
Chromosome_1	114103934	114103936	*	5.62367381730378e-06	0.0186755830889163	32.7280405405405
Chromosome_1	115013973	115013975	*	2.59331223959294e-06	0.0115495549621553	-43.2017543859649
Chromosome_1	118082167	118082169	*	2.74571907542378e-05	0.0494499171501979	46.900269541779
Chromosome_1	123472979	123472981	*	4.59557780523168e-06	0.0163519559271333	-28.681592039801
Chromosome_1	125504426	125504428	*	1.41052803948375e-05	0.0332117720066693	25.2232142857143
Chromosome_1	126123138	126123140	*	2.73548625730099e-07	0.00238117191837179	46.7545638945233
Chromosome_1	126866456	126866458	*	9.3433093165625e-07	0.00581881436499405	34.6516690856313
Chromosome_1	130895767	130895769	*	1.61147039172925e-05	0.0358841592134782	-28.2608695652174
Chromosome_1	132598658	132598660	*	1.26979823879482e-05	0.0310102479473764	40.6410256410256
Chromosome_1	133276893	133276895	*	1.04653147100193e-07	0.00128608842074584	47.8260869565217
Chromosome_1	133599845	133599847	*	3.68356792821549e-06	0.0143963202383512	-37.8378378378378
Chromosome_1	134226089	134226091	*	1.12820452699675e-05	0.0290458621272641	41.4747807017544
Chromosome_1	139230042	139230044	*	1.08840018049721e-07	0.00130952978150316	33.2758620689655
Chromosome_1	142676985	142676987	*	3.48888126806294e-07	0.00284313330939743	-54.0873015873016
Chromosome_1	146360122	146360124	*	1.3284999676916e-05	0.0319682099211594	46.0132890365448
Chromosome_1	147533561	147533563	*	2.53795024698839e-05	0.0473783652563811	29.9015586546349
Chromosome_1	147691539	147691541	*	3.7380370272023e-06	0.0145052031248855	47.2222222222222
Chromosome_1	148012323	148012325	*	2.47336013953816e-06	0.011210875765026	-41.2438625204583
Chromosome_1	148031656	148031658	*	7.50652408945203e-07	0.0050632997236539	32.5568181818182
Chromosome_1	148468730	148468732	*	1.12805726858877e-05	0.0290458621272641	-34.4021739130435
Chromosome_1	148468747	148468749	*	2.60694298342474e-06	0.0115710718379883	-38.2539682539683
Chromosome_1	149160443	149160445	*	1.21278836680089e-06	0.0068143095206905	-37.0416024653313
Chromosome_1	152077273	152077275	*	4.07579543512741e-08	0.000673841446695851	36.5079365079365
Chromosome_1	152077657	152077659	*	9.25072739603287e-07	0.00579255226077524	35.8490566037736
Chromosome_1	153156837	153156839	*	5.48956724448225e-08	0.000807145326573312	48.7698195735375
Chromosome_1	155317684	155317686	*	2.6224351170998e-06	0.0115894159463201	-43.1598062953995
Chromosome_1	156619770	156619772	*	3.41090406223864e-08	0.000584790850708269	41.6679705836332
Chromosome_1	156620194	156620196	*	5.01216536041154e-10	2.69450101344427e-05	53.0508474576271
Chromosome_1	156620200	156620202	*	6.21480544494368e-15	7.1409778121436e-09	64.2080745341615
Chromosome_1	157038623	157038625	*	5.43520672537352e-06	0.0182875490931507	-38.4525479195886
Chromosome_1	160898698	160898700	*	6.38886936333469e-06	0.0203633340184787	42.5893786879556
Chromosome_1	162213945	162213947	*	2.37779005547423e-05	0.045649865023484	28.3582089552239
